
[2021/3/26 18:54:21 368]  通信猫调试软件    2021/3/26
[2021/3/26 18:54:21 370]  http://tongxinmao.com
[2021/3/26 18:54:23 031]  

[2021/3/26 19:02:20 833]  TCP Client已连接服务端
[2021/3/26 19:03:39 280]  TCP Client发送文本数据12字节：
[2021/3/26 19:03:39 282]  111111111111
[2021/3/26 19:03:48 983]  TCP Client已断开
[2021/3/26 19:03:52 478]  TCP Client连接出错
[2021/3/26 19:03:58 822]  TCP Client连接出错
[2021/3/26 19:04:00 718]  TCP Client连接出错
[2021/3/26 19:04:02 206]  TCP Client连接出错
[2021/3/26 19:04:03 629]  TCP Client连接出错
[2021/3/26 19:04:05 059]  TCP Client连接出错
[2021/3/26 19:04:06 574]  TCP Client连接出错
[2021/3/26 19:04:17 448]  TCP Client已连接服务端
[2021/3/26 19:04:45 242]  TCP Client已断开
[2021/3/26 19:04:46 589]  TCP Client连接出错
[2021/3/26 19:04:48 201]  TCP Client连接出错
[2021/3/26 19:04:49 727]  TCP Client连接出错
[2021/3/26 19:04:50 618]  TCP Client连接出错
[2021/3/26 19:04:56 028]  TCP Client已连接服务端
[2021/3/26 19:05:40 209]  TCP Client已断开
[2021/3/26 19:05:49 105]  TCP Client已连接服务端
[2021/3/26 19:07:04 117]  TCP Client已断开
[2021/3/26 19:08:04 591]  DeviceChange
[2021/3/26 19:08:05 620]  DeviceChange
[2021/3/26 19:08:07 789]  DeviceChange
[2021/3/26 19:08:18 001]  DeviceChange
[2021/3/26 19:08:43 455]  TCP Client已连接服务端
[2021/3/26 19:09:00 724]  TCP Client已断开
[2021/3/26 19:09:02 172]  TCP Client连接出错
[2021/3/26 19:09:03 467]  TCP Client连接出错
[2021/3/26 19:09:05 999]  TCP Client连接出错
[2021/3/26 19:09:26 523]  TCP Client连接出错
[2021/3/26 19:10:39 312]  DeviceChange
[2021/3/26 19:10:40 485]  DeviceChange
[2021/3/26 19:10:41 888]  DeviceChange
[2021/3/26 19:10:44 776]  TCP Client已连接服务端
[2021/3/26 19:11:02 854]  DeviceChange
[2021/3/26 19:11:05 588]  DeviceChange
[2021/3/26 19:11:07 745]  DeviceChange
[2021/3/26 19:11:12 527]  TCP Client已断开
[2021/3/26 19:11:19 437]  DeviceChange
